date,amount,category,description
05-03-2025,50.00,Groceries,Supermarket weekly shopping
07-03-2025,1200.00,Rent,Monthly apartment rent
08-03-2025,15.99,Entertainment,Netflix subscription
10-03-2025,75.50,Utilities,Electricity bill
11-03-2025,30.00,Transport,Gas for the car
12-03-2025,8.50,Coffee,Starbucks cappuccino
13-03-2025,200.00,Shopping,New running shoes
14-03-2025,45.00,Groceries,Fresh vegetables and fruits
15-03-2025,22.99,Entertainment,Cinema tickets
16-03-2025,60.00,Health,Pharmacy - vitamins
17-03-2025,150.00,Transport,Monthly metro pass
18-03-2025,100.00,Insurance,Car insurance installment
19-03-2025,500.00,Savings,Transfer to savings account
20-03-2025,95.00,Utilities,Water and gas bills
21-03-2025,12.50,Coffee,Latte and muffin at local café
22-03-2025,300.00,Electronics,New smartphone accessories
23-03-2025,25.00,Groceries,Weekend grocery top-up
24-03-2025,19.99,Entertainment,Spotify Premium subscription
25-03-2025,40.00,Health,Gym membership
26-03-2025,18.00,Transport,Taxi ride home
27-03-2025,250.00,Shopping,Clothes for spring
19-03-2025,2000.0,Income,
21-03-2025,500.0,Expense,
